球,20250622_161252,1750579972.5113246,1,-196.8,-415.05,0.0,0,0,100,100,100,0,12
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161252,1750579972.514438,2,123.3,-24.6,91.476,0,0,100,100,100,0,12
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161252,1750579972.5163445,3,32.4,57.75,181.742,0,0,100,100,100,0,12
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161253,1750579973.0426507,1,-196.05,-414.0,-0.242,0,0,100,100,100,0,13
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161253,1750579973.0461519,2,122.55,-24.75,91.718,0,0,100,100,100,0,13
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161253,1750579973.0478735,3,32.55,58.05,180.048,0,0,100,100,100,0,13
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161253,1750579973.5547976,1,-193.8,-410.7,2.904,0,0,100,100,100,0,14
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161253,1750579973.5567105,2,123.0,-23.7,91.234,0,0,100,100,100,0,14
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161253,1750579973.5579164,3,32.25,56.55,181.258,0,0,100,100,100,0,14
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161254,1750579974.0660384,1,-191.7,-408.9,4.598,0,0,100,100,100,0,15
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161254,1750579974.0693798,2,122.1,-24.75,91.234,0,0,100,100,100,0,15
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161254,1750579974.070953,3,33.3,58.05,180.048,0,0,100,100,100,0,15
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161254,1750579974.8290176,1,-189.45,-406.35,4.84,0,0,100,100,100,0,16
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161254,1750579974.830546,2,123.3,-24.15,92.202,0,0,100,100,100,0,16
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161254,1750579974.8318229,3,33.15,57.45,182.226,0,0,100,100,100,0,16
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161255,1750579975.0315294,1,-186.45,-403.2,7.018,0,0,100,100,100,0,17
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161255,1750579975.0328603,2,122.1,-24.3,91.96,0,0,100,100,100,0,17
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161255,1750579975.0343692,3,32.25,57.6,180.532,0,0,100,100,100,0,17
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161255,1750579975.545334,1,-183.9,-401.85,9.438,0,0,100,100,100,0,18
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161255,1750579975.5482686,2,123.15,-24.6,90.992,0,0,100,100,100,0,18
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161255,1750579975.5500636,3,31.8,57.45,181.258,0,0,100,100,100,0,18
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161256,1750579976.0453258,1,-181.65,-398.85,10.648,0,0,100,100,100,0,19
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161256,1750579976.049306,2,122.85,-24.45,92.202,0,0,100,100,100,0,19
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161256,1750579976.050716,3,33.0,57.45,180.774,0,0,100,100,100,0,19
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161256,1750579976.531893,1,-179.85,-396.3,10.406,0,0,100,100,100,0,20
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161256,1750579976.5359385,2,122.4,-24.9,92.928,0,0,100,100,100,0,20
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161256,1750579976.537188,3,34.05,57.3,181.742,0,0,100,100,100,0,20
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161257,1750579977.051077,1,-177.75,-394.65,11.132,0,0,100,100,100,0,21
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161257,1750579977.055123,2,123.0,-24.45,91.718,0,0,100,100,100,0,21
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161257,1750579977.0564177,3,32.55,57.3,180.774,0,0,100,100,100,0,21
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161257,1750579977.5677795,1,-176.55,-392.4,11.858,0,0,100,100,100,0,22
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161257,1750579977.5691843,2,122.25,-24.9,91.234,0,0,100,100,100,0,22
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161257,1750579977.570343,3,32.25,57.15,180.29,0,0,100,100,100,0,22
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161258,1750579978.0341294,1,-174.9,-391.8,11.374,0,0,100,100,100,0,23
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161258,1750579978.0373101,2,122.85,-24.15,90.992,0,0,100,100,100,0,23
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161258,1750579978.0390801,3,32.55,57.6,180.774,0,0,100,100,100,0,23
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161258,1750579978.5327036,1,-174.15,-390.15,12.584,0,0,100,100,100,0,24
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161258,1750579978.5364869,2,122.7,-25.5,90.75,0,0,100,100,100,0,24
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161258,1750579978.5377314,3,31.95,57.75,180.29,0,0,100,100,100,0,24
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161259,1750579979.0326898,1,-173.55,-390.15,12.584,0,0,100,100,100,0,25
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161259,1750579979.0340211,2,122.7,-25.05,91.234,0,0,100,100,100,0,25
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161259,1750579979.0351627,3,32.1,57.45,180.774,0,0,100,100,100,0,25
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161259,1750579979.53398,1,-174.0,-387.75,13.31,0,0,100,100,100,0,26
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161259,1750579979.5367126,2,122.85,-25.8,91.718,0,0,100,100,100,0,26
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161259,1750579979.5384104,3,32.55,56.4,181.016,0,0,100,100,100,0,26
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161300,1750579980.0506337,1,-172.2,-387.6,13.552,0,0,100,100,100,0,27
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161300,1750579980.054419,2,122.55,-25.35,91.96,0,0,100,100,100,0,27
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161300,1750579980.056059,3,32.55,57.3,180.532,0,0,100,100,100,0,27
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161300,1750579980.5362923,1,-171.9,-387.0,13.31,0,0,100,100,100,0,28
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161300,1750579980.5398173,2,122.4,-25.05,91.476,0,0,100,100,100,0,28
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161300,1750579980.5411522,3,32.85,57.45,180.774,0,0,100,100,100,0,28
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161301,1750579981.0567458,1,-171.15,-385.35,13.068,0,0,100,100,100,0,29
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161301,1750579981.0597641,2,122.4,-25.35,90.75,0,0,100,100,100,0,29
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161301,1750579981.061572,3,32.4,57.75,181.5,0,0,100,100,100,0,29
数据标签,时间戳,时间点,传感器ID,X轴值,Y轴值,Z轴值,手指1角度,手指2角度,手指3角度,手指4角度,手指5角度,手指6角度,迭代次数
球,20250622_161242,1750579962.1045296,1,-374.1,-523.95,-182.71,0,0,0,0,0,0,0
球,20250622_161242,1750579962.1045296,2,323.4,9.6,432.938,0,0,0,0,0,0,0
球,20250622_161242,1750579962.1045296,3,60.3,43.35,173.272,0,0,0,0,0,0,0
球,20250622_161301,1750579981.4320824,1,-346.5,-487.8,-151.734,0,0,100,100,100,0,1
球,20250622_161301,1750579981.4320824,2,323.1,9.3,436.568,0,0,100,100,100,0,1
球,20250622_161301,1750579981.4320824,3,57.15,44.1,178.112,0,0,100,100,100,0,1
球,20250622_161301,1750579981.432097,1,-243.15,-471.75,-26.62,0,0,100,100,100,0,2
球,20250622_161301,1750579981.432097,2,136.8,-48.15,98.01,0,0,100,100,100,0,2
球,20250622_161301,1750579981.432097,3,32.1,54.6,181.742,0,0,100,100,100,0,2
球,20250622_161301,1750579981.4321108,1,-226.8,-450.75,-20.086,0,0,100,100,100,0,3
球,20250622_161301,1750579981.4321108,2,125.25,-28.5,92.202,0,0,100,100,100,0,3
球,20250622_161301,1750579981.4321108,3,32.25,56.55,180.774,0,0,100,100,100,0,3
球,20250622_161301,1750579981.4321237,1,-221.1,-444.6,-16.94,0,0,100,100,100,0,4
球,20250622_161301,1750579981.4321237,2,123.9,-25.95,93.412,0,0,100,100,100,0,4
球,20250622_161301,1750579981.4321237,3,31.65,57.3,180.774,0,0,100,100,100,0,4
球,20250622_161301,1750579981.4321363,1,-218.55,-441.45,-15.488,0,0,100,100,100,0,5
球,20250622_161301,1750579981.4321363,2,122.7,-25.95,92.686,0,0,100,100,100,0,5
球,20250622_161301,1750579981.4321363,3,33.3,56.25,179.564,0,0,100,100,100,0,5
球,20250622_161301,1750579981.4321482,1,-215.85,-436.8,-14.278,0,0,100,100,100,0,6
球,20250622_161301,1750579981.4321482,2,123.3,-24.75,93.654,0,0,100,100,100,0,6
球,20250622_161301,1750579981.4321482,3,33.0,58.2,180.532,0,0,100,100,100,0,6
球,20250622_161301,1750579981.4321606,1,-208.05,-428.55,-6.776,0,0,100,100,100,0,7
球,20250622_161301,1750579981.4321606,2,123.3,-25.05,91.234,0,0,100,100,100,0,7
球,20250622_161301,1750579981.4321606,3,32.25,57.6,180.532,0,0,100,100,100,0,7
球,20250622_161301,1750579981.432173,1,-205.2,-426.0,-6.05,0,0,100,100,100,0,8
球,20250622_161301,1750579981.432173,2,122.7,-24.75,92.444,0,0,100,100,100,0,8
球,20250622_161301,1750579981.432173,3,33.3,56.1,180.29,0,0,100,100,100,0,8
球,20250622_161301,1750579981.4321856,1,-202.95,-422.55,-3.872,0,0,100,100,100,0,9
球,20250622_161301,1750579981.4321856,2,123.15,-24.6,92.202,0,0,100,100,100,0,9
球,20250622_161301,1750579981.4321856,3,32.25,57.0,180.532,0,0,100,100,100,0,9
球,20250622_161301,1750579981.4321988,1,-201.45,-421.2,-3.146,0,0,100,100,100,0,10
球,20250622_161301,1750579981.4321988,2,122.55,-25.05,92.444,0,0,100,100,100,0,10
球,20250622_161301,1750579981.4321988,3,32.55,56.85,180.532,0,0,100,100,100,0,10
球,20250622_161301,1750579981.4322114,1,-199.35,-418.5,-1.694,0,0,100,100,100,0,11
球,20250622_161301,1750579981.4322114,2,122.25,-24.45,92.928,0,0,100,100,100,0,11
