grid_i,grid_j,X_original,Y_original,Z_original,X_deformed,Y_deformed,Z_deformed,grid_value,distance_from_origin,decay_factor
7,17,3.947368421052632,-1.3157894736842106,0.0,3.947368421052632,-1.1711492340844623,0.09096149299706727,0.09096149299706727,4.160891658116289,0.38219114704650115
7,18,4.473684210526315,-1.3157894736842106,0.0,4.473684210526315,-1.2027180209391195,0.07110848395648481,0.07110848395648481,4.663169775439302,0.29877514267430594
7,19,5.0,-1.3157894736842106,0.0,5.0,-1.2300758627404116,0.05390365809122512,0.05390365809122512,5.170232290628553,0.2264859583664921
8,0,-5.0,-0.7894736842105265,0.0,-5.0,-0.698317983970651,0.057326084442040855,0.057326084442040855,5.061943174124038,0.24086590101697838
8,1,-4.473684210526316,-0.7894736842105265,0.0,-4.473684210526316,-0.6692231506181783,0.0756232712246767,0.0756232712246767,4.54280960569265,0.31774483707847356
8,2,-3.947368421052632,-0.7894736842105265,0.0,-3.947368421052632,-0.6356500128192526,0.09673677841491132,0.09673677841491132,4.025541721257462,0.406457052163493
8,3,-3.4210526315789473,-0.7894736842105265,0.0,-3.4210526315789473,-0.5986675585922148,0.11999433979959888,0.11999433979959888,3.510964227401667,0.5041778983176424
8,4,-2.8947368421052633,-0.7894736842105265,0.0,-2.8947368421052633,-0.5599674782747518,0.1443320835320766,0.1443320835320766,3.0004616449977317,0.6064373257650277
8,5,-2.368421052631579,-0.7894736842105265,0.0,-2.368421052631579,-0.521785295334517,0.16834413146384003,0.16834413146384003,2.4965349948697733,0.7073282834615128
8,6,-1.8421052631578947,-0.7894736842105265,0.0,-1.8421052631578947,-0.486714299400715,0.19039961311860257,0.19039961311860257,2.0041508173326075,0.79999837444791
8,7,-1.3157894736842106,-0.7894736842105265,0.0,-1.3157894736842106,-0.45742736199969936,0.20881761048005515,0.20881761048005515,1.5344610249592898,0.877384917983425
8,8,-0.7894736842105265,-0.7894736842105265,0.0,-0.7894736842105265,-0.4363452291154603,0.22207576248546904,0.22207576248546904,1.1164843913471807,0.9330914390145758
8,9,-0.2631578947368425,-0.7894736842105265,0.0,-0.2631578947368425,-0.42530740027189096,0.22901724290499473,0.22901724290499473,0.832178331623258,0.96225732313023
8,10,0.2631578947368416,-0.7894736842105265,0.0,0.2631578947368416,-0.42530740027189096,0.22901724290499476,0.22901724290499476,0.8321783316232577,0.9622573231302302
8,11,0.7894736842105257,-0.7894736842105265,0.0,0.7894736842105257,-0.4363452291154603,0.22207576248546904,0.22207576248546904,1.11648439134718,0.9330914390145758
8,12,1.3157894736842106,-0.7894736842105265,0.0,1.3157894736842106,-0.45742736199969936,0.20881761048005515,0.20881761048005515,1.5344610249592898,0.877384917983425
8,13,1.8421052631578947,-0.7894736842105265,0.0,1.8421052631578947,-0.486714299400715,0.19039961311860257,0.19039961311860257,2.0041508173326075,0.79999837444791
8,14,2.3684210526315788,-0.7894736842105265,0.0,2.3684210526315788,-0.521785295334517,0.16834413146384003,0.16834413146384003,2.4965349948697733,0.7073282834615128
8,15,2.894736842105263,-0.7894736842105265,0.0,2.894736842105263,-0.5599674782747518,0.1443320835320766,0.1443320835320766,3.0004616449977313,0.6064373257650277
8,16,3.421052631578947,-0.7894736842105265,0.0,3.421052631578947,-0.5986675585922148,0.11999433979959888,0.11999433979959888,3.5109642274016664,0.5041778983176424
8,17,3.947368421052632,-0.7894736842105265,0.0,3.947368421052632,-0.6356500128192526,0.09673677841491132,0.09673677841491132,4.025541721257462,0.406457052163493
8,18,4.473684210526315,-0.7894736842105265,0.0,4.473684210526315,-0.6692231506181782,0.07562327122467673,0.07562327122467673,4.542809605692649,0.3177448370784737
8,19,5.0,-0.7894736842105265,0.0,5.0,-0.698317983970651,0.057326084442040855,0.057326084442040855,5.061943174124038,0.24086590101697838
9,0,-5.0,-0.2631578947368425,0.0,-5.0,-0.16915291683937184,0.05911794091583567,0.05911794091583567,5.00692041853696,0.248394709730402
9,1,-4.473684210526316,-0.2631578947368425,0.0,-4.473684210526316,-0.13914865864122827,0.07798704767011806,0.07798704767011806,4.481417464717474,0.327676670882849
9,2,-3.947368421052632,-0.2631578947368425,0.0,-3.947368421052632,-0.10452611645865892,0.09976050529847454,0.09976050529847454,3.956130625887608,0.4191617869683804
9,3,-3.4210526315789473,-0.2631578947368425,0.0,-3.4210526315789473,-0.06638769194918301,0.1237450343862147,0.1237450343862147,3.4311591606329728,0.5199371192698097
9,4,-2.8947368421052633,-0.2631578947368425,0.0,-2.8947368421052633,-0.026477953059568016,0.1488435093650187,0.1488435093650187,2.9066739518913844,0.6253928964916752
9,5,-2.368421052631579,-0.2631578947368425,0.0,-2.368421052631579,0.012897700398511958,0.17360610818394595,0.17360610818394595,2.382996088983531,0.7294374293443108
9,6,-1.8421052631578947,-0.2631578947368425,0.0,-1.8421052631578947,0.04906491966097948,0.19635098382000693,0.19635098382000693,1.8608073189119672,0.8250041336975081
9,7,-1.3157894736842106,-0.2631578947368425,0.0,-1.3157894736842106,0.07926728655435283,0.21534467736108992,0.21534467736108992,1.3418472404191542,0.9048095687440754
9,8,-0.7894736842105265,-0.2631578947368425,0.0,-0.7894736842105265,0.10100838920179311,0.22901724290499473,0.22901724290499473,0.832178331623258,0.96225732313023
9,9,-0.2631578947368425,-0.2631578947368425,0.0,-0.2631578947368425,0.11239123035978255,0.236175695000652,0.236175695000652,0.37216146378239395,0.992334852943916
9,10,0.2631578947368416,-0.2631578947368425,0.0,0.2631578947368416,0.11239123035978255,0.236175695000652,0.236175695000652,0.37216146378239334,0.992334852943916
9,11,0.7894736842105257,-0.2631578947368425,0.0,0.7894736842105257,0.10100838920179311,0.22901724290499476,0.22901724290499476,0.8321783316232572,0.9622573231302302
9,12,1.3157894736842106,-0.2631578947368425,0.0,1.3157894736842106,0.07926728655435283,0.21534467736108992,0.21534467736108992,1.3418472404191542,0.9048095687440754
9,13,1.8421052631578947,-0.2631578947368425,0.0,1.8421052631578947,0.04906491966097948,0.19635098382000693,0.19635098382000693,1.8608073189119672,0.8250041336975081
9,14,2.3684210526315788,-0.2631578947368425,0.0,2.3684210526315788,0.012897700398511958,0.17360610818394595,0.17360610818394595,2.3829960889835307,0.7294374293443108
9,15,2.894736842105263,-0.2631578947368425,0.0,2.894736842105263,-0.02647795305956796,0.14884350936501872,0.14884350936501872,2.906673951891384,0.6253928964916753
9,16,3.421052631578947,-0.2631578947368425,0.0,3.421052631578947,-0.06638769194918301,0.1237450343862147,0.1237450343862147,3.4311591606329728,0.5199371192698097
9,17,3.947368421052632,-0.2631578947368425,0.0,3.947368421052632,-0.10452611645865892,0.09976050529847454,0.09976050529847454,3.956130625887608,0.4191617869683804
9,18,4.473684210526315,-0.2631578947368425,0.0,4.473684210526315,-0.13914865864122825,0.07798704767011808,0.07798704767011808,4.481417464717473,0.3276766708828491
9,19,5.0,-0.2631578947368425,0.0,5.0,-0.16915291683937184,0.05911794091583567,0.05911794091583567,5.00692041853696,0.248394709730402
10,0,-5.0,0.2631578947368416,0.0,-5.0,0.35716287263431223,0.05911794091583567,0.05911794091583567,5.00692041853696,0.248394709730402
10,1,-4.473684210526316,0.2631578947368416,0.0,-4.473684210526316,0.3871671308324558,0.07798704767011806,0.07798704767011806,4.481417464717474,0.327676670882849
10,2,-3.947368421052632,0.2631578947368416,0.0,-3.947368421052632,0.4217896730150251,0.09976050529847454,0.09976050529847454,3.956130625887608,0.4191617869683804
10,3,-3.4210526315789473,0.2631578947368416,0.0,-3.4210526315789473,0.45992809752450103,0.1237450343862147,0.1237450343862147,3.4311591606329728,0.5199371192698097
10,4,-2.8947368421052633,0.2631578947368416,0.0,-2.8947368421052633,0.49983783641411605,0.1488435093650187,0.1488435093650187,2.9066739518913844,0.6253928964916752
10,5,-2.368421052631579,0.2631578947368416,0.0,-2.368421052631579,0.5392134898721961,0.17360610818394595,0.17360610818394595,2.382996088983531,0.7294374293443108
10,6,-1.8421052631578947,0.2631578947368416,0.0,-1.8421052631578947,0.5753807091346637,0.19635098382000696,0.19635098382000696,1.860807318911967,0.8250041336975082
10,7,-1.3157894736842106,0.2631578947368416,0.0,-1.3157894736842106,0.605583076028037,0.21534467736108992,0.21534467736108992,1.341847240419154,0.9048095687440754
10,8,-0.7894736842105265,0.2631578947368416,0.0,-0.7894736842105265,0.6273241786754772,0.22901724290499476,0.22901724290499476,0.8321783316232577,0.9622573231302302
10,9,-0.2631578947368425,0.2631578947368416,0.0,-0.2631578947368425,0.6387070198334666,0.236175695000652,0.236175695000652,0.37216146378239334,0.992334852943916
10,10,0.2631578947368416,0.2631578947368416,0.0,0.2631578947368416,0.6387070198334667,0.23617569500065203,0.23617569500065203,0.3721614637823927,0.9923348529439161
10,11,0.7894736842105257,0.2631578947368416,0.0,0.7894736842105257,0.6273241786754772,0.22901724290499476,0.22901724290499476,0.8321783316232569,0.9622573231302302
10,12,1.3157894736842106,0.2631578947368416,0.0,1.3157894736842106,0.605583076028037,0.21534467736108992,0.21534467736108992,1.341847240419154,0.9048095687440754
10,13,1.8421052631578947,0.2631578947368416,0.0,1.8421052631578947,0.5753807091346637,0.19635098382000696,0.19635098382000696,1.860807318911967,0.8250041336975082
10,14,2.3684210526315788,0.2631578947368416,0.0,2.3684210526315788,0.5392134898721961,0.17360610818394595,0.17360610818394595,2.3829960889835307,0.7294374293443108
10,15,2.894736842105263,0.2631578947368416,0.0,2.894736842105263,0.4998378364141161,0.14884350936501872,0.14884350936501872,2.906673951891384,0.6253928964916753
10,16,3.421052631578947,0.2631578947368416,0.0,3.421052631578947,0.45992809752450103,0.1237450343862147,0.1237450343862147,3.4311591606329728,0.5199371192698097
10,17,3.947368421052632,0.2631578947368416,0.0,3.947368421052632,0.4217896730150251,0.09976050529847454,0.09976050529847454,3.956130625887608,0.4191617869683804
10,18,4.473684210526315,0.2631578947368416,0.0,4.473684210526315,0.3871671308324558,0.07798704767011808,0.07798704767011808,4.481417464717473,0.3276766708828491
10,19,5.0,0.2631578947368416,0.0,5.0,0.35716287263431223,0.05911794091583567,0.05911794091583567,5.00692041853696,0.248394709730402
11,0,-5.0,0.7894736842105257,0.0,-5.0,0.8806293844504012,0.057326084442040855,0.057326084442040855,5.061943174124038,0.24086590101697838
11,1,-4.473684210526316,0.7894736842105257,0.0,-4.473684210526316,0.909724217802874,0.07562327122467673,0.07562327122467673,4.542809605692649,0.3177448370784737
11,2,-3.947368421052632,0.7894736842105257,0.0,-3.947368421052632,0.9432973556017996,0.09673677841491132,0.09673677841491132,4.025541721257462,0.406457052163493
11,3,-3.4210526315789473,0.7894736842105257,0.0,-3.4210526315789473,0.9802798098288374,0.11999433979959888,0.11999433979959888,3.5109642274016664,0.5041778983176424
11,4,-2.8947368421052633,0.7894736842105257,0.0,-2.8947368421052633,1.0189798901463005,0.1443320835320766,0.1443320835320766,3.0004616449977313,0.6064373257650277
11,5,-2.368421052631579,0.7894736842105257,0.0,-2.368421052631579,1.0571620730865352,0.16834413146384003,0.16834413146384003,2.4965349948697733,0.7073282834615128
11,6,-1.8421052631578947,0.7894736842105257,0.0,-1.8421052631578947,1.0922330690203372,0.1903996131186026,0.1903996131186026,2.004150817332607,0.7999983744479101
11,7,-1.3157894736842106,0.7894736842105257,0.0,-1.3157894736842106,1.1215200064213529,0.20881761048005515,0.20881761048005515,1.5344610249592894,0.877384917983425
11,8,-0.7894736842105265,0.7894736842105257,0.0,-0.7894736842105265,1.1426021393055918,0.22207576248546904,0.22207576248546904,1.11648439134718,0.9330914390145758
11,9,-0.2631578947368425,0.7894736842105257,0.0,-0.2631578947368425,1.1536399681491614,0.22901724290499476,0.22901724290499476,0.8321783316232572,0.9622573231302302
